Date,Kommune,Transit,Residential,Retail,Workplace
2020-05-01,Aabenraa,-38,15,-2,-44
2020-05-01,Aalborg,-44,15,-36,-46
2020-05-01,Aarhus,-48,18,-45,-54
2020-05-01,Ærø,-44,14,-19,-45
2020-05-01,Albertslund,-44,19,-44,-55
2020-05-01,Allerød,-32,19,-44,-56
2020-05-01,Assens,-21,13,-19,-47
2020-05-01,Ballerup,-43,18,-54,-58
2020-05-01,Billund,-88,14,-19,-44
2020-05-01,Bornholm,-17,19,3,-43
2020-05-01,Brøndby,-39,19,-20,-51
2020-05-01,Brønderslev,-12,13,-22,-50
2020-05-01,Dragør,-54,19,-44,-53
2020-05-01,Egedal,-39,19,-12,-57
2020-05-01,Esbjerg,-37,14,-30,-44
2020-05-01,Faaborg-Midtfyn,-5,13,-19,-44
2020-05-01,Fanø,-44,14,-19,-45
2020-05-01,Favrskov,-40,16,-27,-49
2020-05-01,Faxe,-25,14,-13,-51
2020-05-01,Fredensborg,-31,19,-44,-47
2020-05-01,Fredericia,-53,13,-9,-44
2020-05-01,Frederiksberg,-48,19,-54,-58
2020-05-01,Frederikshavn,-33,12,-8,-45
2020-05-01,Frederikssund,-24,16,-24,-50
2020-05-01,Furesø,-39,19,-4,-53
2020-05-01,Gentofte,-35,19,-15,-57
2020-05-01,Gladsaxe,-47,20,17,-58
2020-05-01,Glostrup,-48,19,-18,-58
2020-05-01,Greve,-27,18,-30,-51
2020-05-01,Gribskov,-30,19,-44,-45
2020-05-01,Guldborgsund,-54,12,10,-42
2020-05-01,Haderslev,-49,14,3,-44
2020-05-01,Halsnæs,-16,19,-44,-46
2020-05-01,Hedensted,-41,15,-27,-44
2020-05-01,Helsingør,-41,15,-38,-47
2020-05-01,Herlev,-48,19,-36,-54
2020-05-01,Herning,-48,15,-30,-46
2020-05-01,Hillerød,-39,18,-33,-48
2020-05-01,Hjørring,-38,13,-23,-44
2020-05-01,Høje-Taastrup,-51,17,-33,-51
2020-05-01,Holbæk,-33,14,0,-46
2020-05-01,Holstebro,-40,15,-23,-47
2020-05-01,Horsens,-31,14,-25,-45
2020-05-01,Hørsholm,-46,19,-44,-52
2020-05-01,Hvidovre,-49,19,-15,-59
2020-05-01,Ikast-Brande,-42,15,-2,-43
2020-05-01,Ishøj,-39,19,-35,-49
2020-05-01,Jammerbugt,-34,13,-22,-43
2020-05-01,Kalundborg,-32,13,-6,-39
2020-05-01,Kerteminde,-44,14,-19,-49
2020-05-01,København,-54,21,-60,-60
2020-05-01,Køge,-30,16,-6,-50
2020-05-01,Kolding,-46,16,-40,-44
2020-05-01,Læsø,-34,13,-22,-45
2020-05-01,Langeland,-44,14,-19,-45
2020-05-01,Lejre,-32,14,-13,-48
2020-05-01,Lemvig,-41,15,-27,-44
2020-05-01,Lolland,-54,14,-13,-39
2020-05-01,Lyngby-Taarbæk,-47,19,-59,-60
2020-05-01,Mariagerfjord,-13,12,-22,-41
2020-05-01,Middelfart,-47,14,1,-49
2020-05-01,Morsø,-34,13,-22,-44
2020-05-01,Næstved,-12,14,-18,-47
2020-05-01,Norddjurs,-41,15,-27,-41
2020-05-01,Nordfyns,-44,14,-19,-44
2020-05-01,Nyborg,-35,14,-15,-47
2020-05-01,Odder,-41,15,-27,-47
2020-05-01,Odense,-52,15,-31,-48
2020-05-01,Odsherred,-50,14,-13,-35
2020-05-01,Randers,-38,15,-13,-47
2020-05-01,Rebild,-34,13,-22,-47
2020-05-01,Ringkøbing-Skjern,-32,14,-21,-46
2020-05-01,Ringsted,-37,14,-29,-49
2020-05-01,Rødovre,-22,19,-51,-59
2020-05-01,Roskilde,-57,19,-36,-57
2020-05-01,Rudersdal,-42,19,-37,-56
2020-05-01,Samsø,-41,15,-27,-48
2020-05-01,Silkeborg,-29,16,-8,-47
2020-05-01,Skanderborg,-46,17,-26,-50
2020-05-01,Skive,-7,14,-24,-48
2020-05-01,Slagelse,-45,13,-5,-45
2020-05-01,Solrød,-34,14,-13,-52
2020-05-01,Sønderborg,-40,15,-12,-48
2020-05-01,Sorø,-37,14,-13,-45
2020-05-01,Stevns,-41,14,-13,-47
2020-05-01,Struer,-31,15,-27,-43
2020-05-01,Svendborg,-29,13,-12,-46
2020-05-01,Syddjurs,-42,15,-27,-44
2020-05-01,Tårnby,-88,19,-24,-58
2020-05-01,Thisted,-6,13,-15,-46
2020-05-01,Tønder,-38,14,-19,-40
2020-05-01,Vallensbæk,-54,19,-44,-54
2020-05-01,Varde,-27,13,-19,-45
2020-05-01,Vejen,-27,14,-19,-42
2020-05-01,Vejle,-39,15,-21,-44
2020-05-01,Vesthimmerlands,-14,13,-8,-43
2020-05-01,Viborg,-45,14,-23,-47
2020-05-01,Vordingborg,-26,12,-13,-46
2020-05-02,Aabenraa,-32,6,-1,-4
2020-05-02,Aalborg,-43,7,-42,-10
2020-05-02,Aarhus,-40,8,-50,-16
2020-05-02,Ærø,-39,6,-22,-12
2020-05-02,Albertslund,-33,9,-50,-19
2020-05-02,Allerød,-43,9,-50,-19
2020-05-02,Assens,-39,6,-22,-12
2020-05-02,Ballerup,-23,9,-56,-19
2020-05-02,Billund,-93,6,-22,-12
2020-05-02,Bornholm,11,9,-50,-12
2020-05-02,Brøndby,-30,9,-20,-19
2020-05-02,Brønderslev,-29,6,-24,-9
2020-05-02,Dragør,-51,9,-50,-19
2020-05-02,Egedal,-30,9,-50,-19
2020-05-02,Esbjerg,-32,6,-35,-12
2020-05-02,Faaborg-Midtfyn,-39,6,-22,-8
2020-05-02,Fanø,-39,6,-22,-12
2020-05-02,Favrskov,-27,7,-31,-13
2020-05-02,Faxe,-26,7,-18,-10
2020-05-02,Fredensborg,-39,9,-50,-19
2020-05-02,Fredericia,-54,6,-3,-11
2020-05-02,Frederiksberg,-54,9,-64,-18
2020-05-02,Frederikshavn,-36,6,-1,-12
2020-05-02,Frederikssund,-4,9,-31,-19
2020-05-02,Furesø,-23,9,-9,-19
2020-05-02,Gentofte,-15,9,-32,-19
2020-05-02,Gladsaxe,-35,9,16,-25
2020-05-02,Glostrup,-37,9,-16,-19
2020-05-02,Greve,-26,7,-36,-10
2020-05-02,Gribskov,-51,9,-50,-19
2020-05-02,Guldborgsund,-42,7,0,-7
2020-05-02,Haderslev,-22,6,-2,-6
2020-05-02,Halsnæs,-51,9,-50,-19
2020-05-02,Hedensted,-27,7,-31,-13
2020-05-02,Helsingør,-48,9,-47,-20
2020-05-02,Herlev,-32,9,-43,-19
2020-05-02,Herning,-36,7,-40,-19
2020-05-02,Hillerød,-25,9,-40,-14
2020-05-02,Hjørring,-44,6,-23,-4
2020-05-02,Høje-Taastrup,-41,9,-49,-17
2020-05-02,Holbæk,-9,7,0,-9
2020-05-02,Holstebro,-27,7,-25,-17
2020-05-02,Horsens,-28,7,-25,-16
2020-05-02,Hørsholm,-35,9,-50,-19
2020-05-02,Hvidovre,-41,9,-14,-22
2020-05-02,Ikast-Brande,-27,7,-31,-13
2020-05-02,Ishøj,-27,9,-32,-19
2020-05-02,Jammerbugt,-29,6,-24,-9
2020-05-02,Kalundborg,-11,7,-18,-3
2020-05-02,Kerteminde,-39,6,-22,-12
2020-05-02,København,-54,10,-65,-24
2020-05-02,Køge,-19,7,-19,-16
2020-05-02,Kolding,-45,6,-46,-9
2020-05-02,Læsø,-29,6,-24,-9
2020-05-02,Langeland,-39,6,-22,-12
2020-05-02,Lejre,-26,7,-18,-10
2020-05-02,Lemvig,-27,7,-31,-13
2020-05-02,Lolland,-55,7,-18,-10
2020-05-02,Lyngby-Taarbæk,-33,9,-61,-19
2020-05-02,Mariagerfjord,-29,6,-24,-9
2020-05-02,Middelfart,-15,6,4,-12
2020-05-02,Morsø,-29,6,-24,-9
2020-05-02,Næstved,21,7,-26,-15
2020-05-02,Norddjurs,-27,7,-31,-13
2020-05-02,Nordfyns,-39,6,-22,-12
2020-05-02,Nyborg,-39,6,-22,-12
2020-05-02,Odder,-27,7,-31,-13
2020-05-02,Odense,-51,7,-40,-14
2020-05-02,Odsherred,-42,7,-18,-10
2020-05-02,Randers,-22,7,-25,-13
2020-05-02,Rebild,-29,6,-24,-9
2020-05-02,Ringkøbing-Skjern,-27,7,-10,-11
2020-05-02,Ringsted,0,7,-38,-10
2020-05-02,Rødovre,-28,9,-61,-19
2020-05-02,Roskilde,-46,7,-39,-6
2020-05-02,Rudersdal,-27,9,-50,-19
2020-05-02,Samsø,-27,7,-31,-13
2020-05-02,Silkeborg,-11,7,-12,-14
2020-05-02,Skanderborg,-31,7,-24,-13
2020-05-02,Skive,-27,7,-23,-18
2020-05-02,Slagelse,-30,7,-12,-11
2020-05-02,Solrød,-26,7,-18,-10
2020-05-02,Sønderborg,-16,6,-17,-9
2020-05-02,Sorø,-26,7,-18,-10
2020-05-02,Stevns,-26,7,-18,-10
2020-05-02,Struer,-27,7,-31,-13
2020-05-02,Svendborg,-8,6,-8,-15
2020-05-02,Syddjurs,-27,7,-31,-13
2020-05-02,Tårnby,-88,9,-26,-19
2020-05-02,Thisted,-29,6,-9,-9
2020-05-02,Tønder,-39,6,-22,-12
2020-05-02,Vallensbæk,-51,9,-50,-19
2020-05-02,Varde,-39,6,-6,-12
2020-05-02,Vejen,-39,6,-22,-12
2020-05-02,Vejle,-36,6,-24,-15
2020-05-02,Vesthimmerlands,-29,6,-9,-9
2020-05-02,Viborg,-32,7,-22,-9
2020-05-02,Vordingborg,-26,7,-18,-10
2020-05-03,Aabenraa,-35,4,0,-4
2020-05-03,Aalborg,-33,4,-34,-7
2020-05-03,Aarhus,-37,5,-43,-12
2020-05-03,Ærø,-34,4,-6,-9
2020-05-03,Albertslund,-24,4,-38,-12
2020-05-03,Allerød,-45,4,-38,-12
2020-05-03,Assens,-34,4,-6,-9
2020-05-03,Ballerup,-9,4,-41,-12
2020-05-03,Billund,-80,4,-6,-9
2020-05-03,Bornholm,9,4,-38,-12
2020-05-03,Brøndby,-3,4,-38,-12
2020-05-03,Brønderslev,-30,3,-13,-8
2020-05-03,Dragør,-45,4,-38,-12
2020-05-03,Egedal,-45,4,-38,-12
2020-05-03,Esbjerg,-31,4,-23,-9
2020-05-03,Faaborg-Midtfyn,3,4,-6,-9
2020-05-03,Fanø,-34,4,-6,-9
2020-05-03,Favrskov,-24,4,-19,-10
2020-05-03,Faxe,-18,3,6,-4
2020-05-03,Fredensborg,-10,4,-38,-12
2020-05-03,Fredericia,-52,4,-6,-14
2020-05-03,Frederiksberg,-42,4,-63,-6
2020-05-03,Frederikshavn,-41,3,18,-16
2020-05-03,Frederikssund,-45,4,-38,-12
2020-05-03,Furesø,11,4,-38,-12
2020-05-03,Gentofte,-3,4,-23,-12
2020-05-03,Gladsaxe,-10,4,-38,-16
2020-05-03,Glostrup,-25,4,-7,-12
2020-05-03,Greve,-9,3,-26,-4
2020-05-03,Gribskov,-45,4,-38,-12
2020-05-03,Guldborgsund,-43,3,14,-1
2020-05-03,Haderslev,-20,4,-6,-12
2020-05-03,Halsnæs,-45,4,-38,-12
2020-05-03,Hedensted,-24,4,-19,-10
2020-05-03,Helsingør,-31,4,-26,-12
2020-05-03,Herlev,-34,4,-45,-12
2020-05-03,Herning,-38,4,-22,-19
2020-05-03,Hillerød,-45,4,-34,-12
2020-05-03,Hjørring,-54,3,7,0
2020-05-03,Høje-Taastrup,-36,4,-50,-11
2020-05-03,Holbæk,5,3,5,1
2020-05-03,Holstebro,-33,4,-15,-16
2020-05-03,Horsens,-22,4,-12,-9
2020-05-03,Hørsholm,-28,4,-38,-12
2020-05-03,Hvidovre,-19,4,-11,-12
2020-05-03,Ikast-Brande,-24,4,-19,-10
2020-05-03,Ishøj,-16,4,-16,-12
2020-05-03,Jammerbugt,-30,3,-13,-8
2020-05-03,Kalundborg,-18,3,-5,-4
2020-05-03,Kerteminde,-34,4,-6,-9
2020-05-03,København,-49,4,-55,-15
2020-05-03,Køge,-8,3,-2,-4
2020-05-03,Kolding,-43,4,-39,-9
2020-05-03,Læsø,-30,3,-13,-8
2020-05-03,Langeland,-34,4,-6,-9
2020-05-03,Lejre,-18,3,-5,-4
2020-05-03,Lemvig,-24,4,-19,-10
2020-05-03,Lolland,-43,3,-5,-4
2020-05-03,Lyngby-Taarbæk,-5,4,-57,-12
2020-05-03,Mariagerfjord,-30,3,-13,-8
2020-05-03,Middelfart,-18,4,-6,-9
2020-05-03,Morsø,-30,3,-13,-8
2020-05-03,Næstved,41,3,-14,-7
2020-05-03,Norddjurs,-24,4,-19,-10
2020-05-03,Nordfyns,-34,4,-6,-9
2020-05-03,Nyborg,-14,4,-6,-9
2020-05-03,Odder,-24,4,-19,-10
2020-05-03,Odense,-44,4,-29,-6
2020-05-03,Odsherred,-47,3,-5,-4
2020-05-03,Randers,-24,4,-14,-7
2020-05-03,Rebild,-30,3,-13,-8
2020-05-03,Ringkøbing-Skjern,-24,4,-19,-12
2020-05-03,Ringsted,-14,3,-27,-4
2020-05-03,Rødovre,-16,4,-60,-12
2020-05-03,Roskilde,-37,3,-27,2
2020-05-03,Rudersdal,5,4,-38,-12
2020-05-03,Samsø,-24,4,-19,-10
2020-05-03,Silkeborg,-8,4,9,-13
2020-05-03,Skanderborg,-16,4,-13,-10
2020-05-03,Skive,-24,4,-19,-10
2020-05-03,Slagelse,-24,3,4,-11
2020-05-03,Solrød,-18,3,-5,-4
2020-05-03,Sønderborg,-2,4,-9,-3
2020-05-03,Sorø,-18,3,-5,-4
2020-05-03,Stevns,-18,3,-5,-4
2020-05-03,Struer,-24,4,-19,-10
2020-05-03,Svendborg,-11,4,-6,-9
2020-05-03,Syddjurs,-41,4,-19,-10
2020-05-03,Tårnby,-89,4,-38,-12
2020-05-03,Thisted,-30,3,-13,-8
2020-05-03,Tønder,-34,4,-6,-9
2020-05-03,Vallensbæk,-45,4,-38,-12
2020-05-03,Varde,-34,4,-6,-13
2020-05-03,Vejen,-34,4,-6,-9
2020-05-03,Vejle,-29,4,-6,-14
2020-05-03,Vesthimmerlands,-30,3,-13,-8
2020-05-03,Viborg,-38,4,-8,-12
2020-05-03,Vordingborg,-18,3,-5,-4
2020-05-04,Aabenraa,-23,8,7,-27
2020-05-04,Aalborg,-39,12,-25,-36
2020-05-04,Aarhus,-37,14,-38,-42
2020-05-04,Ærø,-32,9,-9,-30
2020-05-04,Albertslund,-33,14,-33,-36
2020-05-04,Allerød,-32,14,-33,-47
2020-05-04,Assens,-32,9,-9,-29
2020-05-04,Ballerup,-36,13,-49,-40
2020-05-04,Billund,-84,9,-9,-28
2020-05-04,Bornholm,15,8,-33,-28
2020-05-04,Brøndby,-36,12,-7,-36
2020-05-04,Brønderslev,-9,8,-14,-33
